timestamp,p_x,p_y,p_z,v_x,v_y,v_z,q_w,q_x,q_y,q_z
0.010000,0.999950,0.010000,0.001111,-0.010000,0.999950,0.111110,0.999988,0.000000,0.000000,0.005000
0.020000,0.999800,0.019999,0.002222,-0.019999,0.999800,0.111109,0.999950,0.000000,0.000000,0.010000
0.030000,0.999550,0.029996,0.003333,-0.029996,0.999550,0.111106,0.999888,0.000000,0.000000,0.014999
0.040000,0.999200,0.039989,0.004444,-0.039989,0.999200,0.111101,0.999800,0.000000,0.000000,0.019999
0.050000,0.998750,0.049979,0.005555,-0.049979,0.998750,0.111096,0.999688,0.000000,0.000000,0.024997
0.060000,0.998201,0.059964,0.006666,-0.059964,0.998201,0.111089,0.999550,0.000000,0.000000,0.029996
0.070000,0.997551,0.069943,0.007777,-0.069943,0.997551,0.111081,0.999388,0.000000,0.000000,0.034993
0.080000,0.996802,0.079915,0.008888,-0.079915,0.996802,0.111072,0.999200,0.000000,0.000000,0.039989
0.090000,0.995953,0.089879,0.009999,-0.089879,0.995953,0.111061,0.998988,0.000000,0.000000,0.044985
0.100000,0.995004,0.099833,0.011109,-0.099833,0.995004,0.111049,0.998750,0.000000,0.000000,0.049979
0.110000,0.993956,0.109778,0.012219,-0.109778,0.993956,0.111036,0.998488,0.000000,0.000000,0.054972
0.120000,0.992809,0.119712,0.013330,-0.119712,0.992809,0.111022,0.998201,0.000000,0.000000,0.059964
0.130000,0.991562,0.129634,0.014440,-0.129634,0.991562,0.111007,0.997888,0.000000,0.000000,0.064954
0.140000,0.990216,0.139543,0.015550,-0.139543,0.990216,0.110990,0.997551,0.000000,0.000000,0.069943
0.150000,0.988771,0.149438,0.016660,-0.149438,0.988771,0.110972,0.997189,0.000000,0.000000,0.074930
0.160000,0.987227,0.159318,0.017769,-0.159318,0.987227,0.110953,0.996802,0.000000,0.000000,0.079915
0.170000,0.985585,0.169182,0.018879,-0.169182,0.985585,0.110933,0.996390,0.000000,0.000000,0.084898
0.180000,0.983844,0.179030,0.019988,-0.179030,0.983844,0.110911,0.995953,0.000000,0.000000,0.089879
0.190000,0.982004,0.188859,0.021097,-0.188859,0.982004,0.110888,0.995491,0.000000,0.000000,0.094857
0.200000,0.980067,0.198669,0.022206,-0.198669,0.980067,0.110864,0.995004,0.000000,0.000000,0.099833
0.210000,0.978031,0.208460,0.023314,-0.208460,0.978031,0.110839,0.994493,0.000000,0.000000,0.104807
0.220000,0.975897,0.218230,0.024423,-0.218230,0.975897,0.110812,0.993956,0.000000,0.000000,0.109778
0.230000,0.973666,0.227978,0.025531,-0.227978,0.973666,0.110785,0.993395,0.000000,0.000000,0.114747
0.240000,0.971338,0.237703,0.026638,-0.237703,0.971338,0.110756,0.992809,0.000000,0.000000,0.119712
0.250000,0.968912,0.247404,0.027746,-0.247404,0.968912,0.110726,0.992198,0.000000,0.000000,0.124675
0.260000,0.966390,0.257081,0.028853,-0.257081,0.966390,0.110694,0.991562,0.000000,0.000000,0.129634
0.270000,0.963771,0.266731,0.029960,-0.266731,0.963771,0.110661,0.990901,0.000000,0.000000,0.134590
0.280000,0.961055,0.276356,0.031066,-0.276356,0.961055,0.110628,0.990216,0.000000,0.000000,0.139543
0.290000,0.958244,0.285952,0.032172,-0.285952,0.958244,0.110592,0.989506,0.000000,0.000000,0.144492
0.300000,0.955336,0.295520,0.033278,-0.295520,0.955336,0.110556,0.988771,0.000000,0.000000,0.149438
0.310000,0.952334,0.305059,0.034383,-0.305059,0.952334,0.110518,0.988012,0.000000,0.000000,0.154380
0.320000,0.949235,0.314567,0.035488,-0.314567,0.949235,0.110480,0.987227,0.000000,0.000000,0.159318
0.330000,0.946042,0.324043,0.036593,-0.324043,0.946042,0.110440,0.986418,0.000000,0.000000,0.164252
0.340000,0.942755,0.333487,0.037697,-0.333487,0.942755,0.110398,0.985585,0.000000,0.000000,0.169182
0.350000,0.939373,0.342898,0.038801,-0.342898,0.939373,0.110356,0.984727,0.000000,0.000000,0.174108
0.360000,0.935897,0.352274,0.039904,-0.352274,0.935897,0.110312,0.983844,0.000000,0.000000,0.179030
0.370000,0.932327,0.361615,0.041007,-0.361615,0.932327,0.110267,0.982936,0.000000,0.000000,0.183947
0.380000,0.928665,0.370920,0.042109,-0.370920,0.928665,0.110221,0.982004,0.000000,0.000000,0.188859
0.390000,0.924909,0.380188,0.043211,-0.380188,0.924909,0.110174,0.981048,0.000000,0.000000,0.193767
0.400000,0.921061,0.389418,0.044313,-0.389418,0.921061,0.110125,0.980067,0.000000,0.000000,0.198669
0.410000,0.917121,0.398609,0.045414,-0.398609,0.917121,0.110075,0.979061,0.000000,0.000000,0.203567
0.420000,0.913089,0.407760,0.046514,-0.407760,0.913089,0.110024,0.978031,0.000000,0.000000,0.208460
0.430000,0.908966,0.416871,0.047614,-0.416871,0.908966,0.109972,0.976976,0.000000,0.000000,0.213347
0.440000,0.904752,0.425939,0.048714,-0.425939,0.904752,0.109918,0.975897,0.000000,0.000000,0.218230
0.450000,0.900447,0.434966,0.049813,-0.434966,0.900447,0.109863,0.974794,0.000000,0.000000,0.223106
0.460000,0.896052,0.443948,0.050911,-0.443948,0.896052,0.109807,0.973666,0.000000,0.000000,0.227978
0.470000,0.891568,0.452886,0.052009,-0.452886,0.891568,0.109750,0.972514,0.000000,0.000000,0.232843
0.480000,0.886995,0.461779,0.053106,-0.461779,0.886995,0.109692,0.971338,0.000000,0.000000,0.237703
