timestamp,p_x,p_y,p_z,v_x,v_y,v_z,q_w,q_x,q_y,q_z
0.010000,0.999950,0.010000,0.001111,-0.010000,0.999950,0.111110,0.999988,0.000000,0.000000,0.005000
0.020000,0.999800,0.019999,0.002222,-0.019999,0.999850,0.111109,0.999950,0.000000,0.000000,0.010000
0.030000,0.999550,0.029996,0.003333,-0.029997,0.999650,0.111107,0.999888,0.000000,0.000000,0.014999
0.040000,0.999200,0.039991,0.004444,-0.039993,0.999350,0.111103,0.999800,0.000000,0.000000,0.019999
0.050000,0.998750,0.049983,0.005555,-0.049985,0.998950,0.111098,0.999688,0.000000,0.000000,0.024997
0.060000,0.998200,0.059970,0.006666,-0.059972,0.998450,0.111092,0.999550,0.000000,0.000000,0.029996
0.070000,0.997551,0.069951,0.007777,-0.069954,0.997851,0.111085,0.999388,0.000000,0.000000,0.034993
0.080000,0.996801,0.079926,0.008888,-0.079930,0.997151,0.111076,0.999200,0.000000,0.000000,0.039989
0.090000,0.995952,0.089894,0.009999,-0.089898,0.996352,0.111066,0.998988,0.000000,0.000000,0.044985
0.100000,0.995003,0.099853,0.011109,-0.099857,0.995453,0.111055,0.998750,0.000000,0.000000,0.049979
0.110000,0.993955,0.109802,0.012220,-0.109807,0.994455,0.111043,0.998488,0.000000,0.000000,0.054972
0.120000,0.992807,0.119742,0.013330,-0.119747,0.993357,0.111029,0.998201,0.000000,0.000000,0.059964
0.130000,0.991560,0.129669,0.014440,-0.129675,0.992160,0.111014,0.997888,0.000000,0.000000,0.064954
0.140000,0.990214,0.139584,0.015550,-0.139591,0.990864,0.110998,0.997551,0.000000,0.000000,0.069943
0.150000,0.988768,0.149486,0.016660,-0.149493,0.989468,0.110981,0.997189,0.000000,0.000000,0.074930
0.160000,0.987224,0.159373,0.017770,-0.159381,0.987974,0.110962,0.996802,0.000000,0.000000,0.079915
0.170000,0.985581,0.169245,0.018880,-0.169253,0.986381,0.110943,0.996390,0.000000,0.000000,0.084898
0.180000,0.983839,0.179100,0.019989,-0.179109,0.984689,0.110922,0.995953,0.000000,0.000000,0.089879
0.190000,0.981999,0.188938,0.021098,-0.188947,0.982899,0.110899,0.995491,0.000000,0.000000,0.094857
0.200000,0.980060,0.198758,0.022207,-0.198767,0.981010,0.110876,0.995004,0.000000,0.000000,0.099833
0.210000,0.978024,0.208558,0.023315,-0.208568,0.979023,0.110851,0.994493,0.000000,0.000000,0.104807
